output,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21
0.36444444444444446,0.0,0.5703125,0.7784431137724551,0.5430579964850615,0.5384615384615384,0.6213499281953089,0.31413612565445026,0.6348012889366272,0.6677740863787376,0.10181582360570689,0.07116788321167883,0.5663265306122449,0.5833333333333334,0.36170212765957444,0.27536231884057966,0.10774410774410775,0.24705882352941178,0.06354515050167224,0.0793296089385475,0.4968553459119497,0.5117698343504795
0.4088888888888889,0.0,0.57421875,0.7844311377245509,0.5325131810193322,0.5384615384615384,0.6452848252752514,0.41884816753926696,0.6025778732545649,0.6345514950166113,0.062905317769131,0.06386861313868612,0.5153061224489797,0.2777777777777778,0.2978723404255319,0.27536231884057966,0.09090909090909093,0.19999999999999998,0.06354515050167224,0.08156424581005586,0.48427672955974843,0.45074106364428934
0.4311111111111111,0.0,0.58984375,0.7829341317365269,0.5342706502636204,0.5384615384615384,0.6452848252752514,0.26178010471204183,0.6240601503759398,0.5681063122923589,0.05317769130998702,0.06021897810218978,0.5535714285714286,0.38888888888888895,0.2978723404255319,0.27536231884057966,0.09090909090909093,0.21176470588235294,0.06354515050167224,0.08268156424581007,0.4716981132075471,0.4856146469049694
0.44,0.0,0.580078125,0.7829341317365269,0.5325131810193322,0.5384615384615384,0.6452848252752514,0.26178010471204183,0.6133190118152523,0.6013289036544851,0.04993514915693904,0.06386861313868612,0.6428571428571429,0.38888888888888895,0.34042553191489366,0.27536231884057966,0.09090909090909093,0.25882352941176473,0.06354515050167224,0.08379888268156424,0.4716981132075471,0.5727986050566696
0.4222222222222222,0.0,0.58984375,0.7964071856287425,0.5254833040421792,0.5384615384615384,0.6452848252752514,0.26178010471204183,0.6133190118152523,0.5681063122923589,0.05317769130998702,0.07116788321167883,0.6556122448979592,0.4444444444444445,0.34042553191489366,0.34782608695652173,0.09090909090909093,0.2235294117647059,0.06354515050167224,0.08379888268156424,0.4716981132075471,0.5640802092414996
0.4622222222222222,0.0,0.568359375,0.7889221556886228,0.5043936731107206,0.5384615384615384,0.6452848252752514,0.3664921465968587,0.6348012889366272,0.6345514950166113,0.06614785992217898,0.06751824817518247,0.5535714285714286,0.25,0.2765957446808511,0.20289855072463764,0.07407407407407408,0.17647058823529413,0.06354515050167224,0.08491620111731843,0.4716981132075471,0.4594594594594594
0.4088888888888889,0.0,0.578125,0.8008982035928144,0.5219683655536028,0.5384615384615384,0.6452848252752514,0.31413612565445026,0.6348012889366272,0.5681063122923589,0.08236057068741894,0.06204379562043794,0.5153061224489797,0.5,0.2765957446808511,0.20289855072463764,0.09090909090909093,0.18823529411764708,0.06354515050167224,0.055865921787709494,0.48427672955974843,0.45074106364428934
0.5066666666666667,0.0,0.59765625,0.8068862275449101,0.507908611599297,0.5384615384615384,0.6452848252752514,0.26178010471204183,0.6562835660580021,0.5681063122923589,0.04993514915693904,0.04927007299270073,0.528061224489796,0.3055555555555556,0.25531914893617025,0.20289855072463764,0.07407407407407408,0.16470588235294117,0.06354515050167224,0.056983240223463696,0.45911949685534587,0.44202266782911936
0.4533333333333333,0.0,0.58203125,0.8008982035928144,0.523725834797891,0.5384615384615384,0.6452848252752514,0.31413612565445026,0.6455424274973146,0.5681063122923589,0.09857328145265888,0.058394160583941604,0.45153061224489804,0.6111111111111112,0.25531914893617025,0.27536231884057966,0.09090909090909093,0.18823529411764708,0.030100334448160536,0.06815642458100558,0.4968553459119497,0.3984306887532694
0.35555555555555557,0.0,0.568359375,0.7904191616766467,0.5043936731107206,0.5384615384615384,0.6452848252752514,0.31413612565445026,0.5810955961331901,0.46843853820598014,0.05642023346303501,0.06386861313868612,0.5408163265306124,0.2777777777777778,0.25531914893617025,0.20289855072463764,0.07407407407407408,0.23529411764705885,0.030100334448160536,0.07597765363128492,0.45911949685534587,0.49433304272013945
